,Title,URL,Address,Description,Class
24,****LICENSED DAY CARE * IMMEDIATE PLACEMENT * FREE REGISTRATION,https://newyork.craigslist.org/brx/kid/d/licensed-day-care-immediate/6266465410.html,Bronx,"
        
OPEN HOUSE 
                                                                             709 E. 175 Street P/H Bronx, NY 10457
                                                                                       
 




Welcome Parents,

The program serves full time care for children 6 weeks old to 5 years old. We provide before and after school care for ages 5 to 12 years old. We do school drop off and pick up. We help the after-school children with their homework. We provide breakfast, lunch, snack and dinner. Full day program is from 7:00am to 7:00pm. 

The Learning centers are designed to help children develop and learn at their own pace. The day care is arranged to provide clear pathway for children to move freely from one area to another and to interact with different groups of children. Activities include music, art, language, library, blocks building, puzzles, table games and dramatic play. We also incorporate planned field trips to enhance curriculum.

Our Mission

""Our mission is to work along with families to provide a quality, reliable and secure place for our children. We are committed to ensure a nurturing, developmentally appropriate learning and fun environment. We are dedicated to support and encourage children to utilize their full potential of creativity and intelligence to promote their growth as individual.""

Program Philosophy

We are committed to foster physical, cognitive, language, emotional and social development through play. We take pride in offering the children a functional, educational, structure and self-exploratory facility enhanced with hands-on activities to promote each child developmental stage. The environment and curriculum is designed to create long lasting memories by creating a positive impact for each child that attends our program.

We are Open Monday-Friday 7am-7pm!

*****ALL VOUCHERS & PRIVATE PAY ACCEPTED*****
*****ALL MEALS & SNACKS PROVIDED*****
*****TRANSPORTATION AVAILABLE******

***School Drop Off and Pick Up in 10457/10460 zip codes***

If interested give Ms. Perez a call at 
 
.
Feel free to visit our website at 


(Corner of 175 Street & Crotona Ave)    ",a
25,AGES 1-8 YEARS-LICENSED FOR 25 YEARS! FULL AND PART-TIME,https://newyork.craigslist.org/brx/kid/d/ages-1-8-years-licensed-for/6306757190.html,Bronx-10466-off of E. 233rd Street,"
        
♥♥THE LITTLE BRICK HOUSE CHILD CARE CENTER ♥♥

Licensed and serving the community for 25 years

Location: 3928 Harper Avenue-close to #5 train and Dyre Avenue, also # 16 bus stops right down the block

Hours: Mon-Fri.-7:30 A.M.-6:00 P.M. 

FULL DAY AND PART TIME PROGRAMS ARE AVAILABLE!
ONLY 2 SEATS LEFT!

OPEN YEAR-ROUND! 

HRA VOUCHERS ARE ACCEPTED

ACCEPTING AGES 1-8 YEARS

We have planned a daily program which promotes hands-on experiences in enriching learning centers of blocks, dramatic house play, math, books, music, art, and toy materials. Small class size provides a more personal and warm atmosphere that is extra special for your child.

NO registration fee is required

WE POTTY TRAIN-we will try consistently every day to potty train your child. We only ask that you help us by trying at home too.

Staff is certified in CPR and First Aid


Children love our large, safe, private  backyard play area with tricycles, ride-on toys, cars, wagons, slides, and a play house. There is no need to risk the safety of your child by walking them to a park. We have everything we need right in our own backyard!

Part-time care is also provided. Just tell me your preferred days and hours and I will give you a price.

Reasonable rates with a discount for 2 or more children

Call now because there are a limited amount of seats left 

Call Debi Rubino- 
 
 for more information or to make an appointment.

    ",a
27,School transportation service,https://newyork.craigslist.org/que/kid/d/school-transportation-service/6306768165.html,Queens,"
        
Hallo parents
I provide school transportation service in the queens village area 
Drop off and pick up services 
I service 
Ps 33 
Ps 18
Pre k on springfield Blvd 
You could call me anytime!!
    ",c
28,"AILEEN FAMILY DAYCARE    BRONX, NY 10457",https://newyork.craigslist.org/brx/kid/d/aileen-family-daycare-bronx/6306756348.html,182ND ST. BETWEEN GRAND CONCOURSE AVE.& RYER AVE.,"
        
Welcome to our daycare, where educational and social development go hand in hand. My name is Mrs. Silvia. I am a childcare provider. I have the daycare for 13 years, before I was a teacher.
We are a licensed facility by the New York Health Department whose purpose is to provide quality care
in accordance with the highest standards of health and safety for your child as well as a SAFE ENVIRONMENT,
DISCIPLINE and most of all educational activities. We are CPR/First Aid Certified. We work with children
ages from: 6 WEEKS to 12 YEARS OLD. We accepted children from HRA, ACS and PRIVATE WELCOME.
All of our activities help the social environment, children enjoy the free play activities daily, safety features
are a high priority including emergency exit and security doors. We ensure that our children receive GREAT
NUTRITION fresh, healthy cooked food created on site.
We offer high quality of care based on national standards for family child care support and appropriate practices for early education.  Our family daycare is Bilingual.
We promote qualities such as to help develop constructive and solidary values.

SERVICES AT AILEEN FAMILY DAYCARE

* Our schedule are Monday to Saturday from 7:00 a.m. to 6:00 p.m.

*   Overnight care available on Monday to Sunday from 7:00 p.m. to 6:00 a.m.

     Parents nights out - friday, saturday & sunday.

* After school pick up service available in the 10457 postal zone.

* Story telling

* Arts & Crafts

* Potty training

* Pre-school care

* Rest or sleep time

* Tutoring

* Breastfeeding - friendly

WE WILL BE MORE THAN HAPPY TO TAKE CARE OF YOUR CHILD AND GIVE THEM ALL THE LOVE,
EDUCATION AND CARE THEY STILL NEED WHEN YOU ARE NOT AROUND, BECAUSE WE ARE WARM,
NURTURING, EXPERIENCED PARENTS, PROVIDING EXCEPTIONAL CHILDCARE AT AFFORDABLE PRICES.


Contact Us TODAY to reserve & ensure your child' s placement to  Mrs. Silvia:   
 



                                            
 


                                           www.aileenfamilydaycare.com

                                           Facebook: Aileen Family Daycare 
                                           Google & Yelp

 HABLAMOS ESPANOL
    ",a
30,Looking For a Toddler,https://newyork.craigslist.org/mnh/kid/d/looking-for-toddler/6291483598.html,Brooklyn,"
        

Hi

My name is Lee and I'm a Life Skills Coach for Special Needs children. I'm bilingual English and Spanish and have AED first aid and CPR.  I also have a current background check. I am looking for part time work with a toddler or younger as I have experience with these kids also.

My typical day would consist of going to the library for reading flash cards and socialization. Can take to the museum and the park weather permitting. I can teach Spanish if you'd like.


My schedule is:

Mondays off

Tuesday's thru Fridays available until 2:30pm.

Available most weekends too.

I'm a warm college educated woman who has a passion for all children and I'm fit and cook healthy meals.

Warm regards, Lee    ",b
32,DATE NIGHT SITTER FOR SPECIAL NEEDS CHILDREN AVAILABLE,https://newyork.craigslist.org/mnh/kid/d/date-night-sitter-for-special/6291748123.html,ALL KIDS,"
        
Hello everyone:

My name is Lee and I am currently a Special Needs Nanny for a child in Park Slope. I have been working with him for 10 years and I am available for date night sitting and overnights. I am available all day Monday and on the weekends. I am bilingual English Spanish and have a complete background check as I work for 2 agencies. I am also a personal assistant in my spare time. Set up appointments, accompany to appointments run errands, like post office etc. I am very good on the phone in resolving issues been doing this for years!

I am warm college educated and have experience with children who are not on the spectrum. My goal is to enrich your child's life and to teach them something everyday. I would love to teach a child Spanish, proper Spanish no slang. I learned Spanish at home and English in school. Spanish opens up a whole new world for you!

I am very health conscious and love cooking healthy foods, and making healthy drinks. NO chips, NO fast foods, NO cola NO juice. Exercise is very important to me and would not mind doing Zumba with your children or outdoor activities. Anything to keep them active. I also love reading and can read to them in English or Spanish whatever you would like.

I have first aide training and CPR and AED I am being constantly trained by both agencies, I also have experience with Diabetics and children with Down Syndrome. I know the signs of low blood sugar and how to handle the situation should it arise. I know how to check sugar with machine too and know about blood pressure etc. Recently got evaluated 2 times back to back and passed.

Looking forward to hearing from you, 

Lee    ",b
33,EMERGENCY SITTER AVAILABLE,https://newyork.craigslist.org/brk/kid/d/emergency-sitter-available/6295853664.html,Brooklyn,"
        
Hi Everyone

My name is Lee and I'm a Life Skills Coach for Special Needs children. I'm bilingual English and Spanish and have AED first aid and CPR. I also have a current background check. I am looking for part time work with a toddler or younger as I have experience with these kids also. 

Right now I'm working with 2 children in Windsor Terrace in the mornings and tomorrow will be my last day. One goes back to school and their regular Nanny will pick him up. Currently looking to help another family.

My typical day would consist of going to the library for reading flash cards and socialization. Can take to the museum and the park weather permitting. I can teach Spanish if you'd like. Looking to work in many places. Williamsburg Park Slope UWS LES East Village etc.


My schedule is:

Mondays off

Tuesday's thru Fridays available until 2:30pm.

Available most weekends too.

I'm a warm college educated woman who has a passion for all children and I'm fit and cook healthy meals.

Warm regards, Lee    ",b
34,DATE NIGHT SITTER AVAILABLE TOMORROW,https://newyork.craigslist.org/mnh/kid/d/date-night-sitter-available/6271945313.html,ALL KIDS,"
        
Hello everyone:

My name is Lee and I am currently a Special Needs Nanny for a child in Park Slope. I have been working with him for 10 years and I am available for date night sitting and overnights. I am available all day Monday's and on some weekends. I am bilingual English Spanish and have a complete background check as I worked for 2 agencies and now work for a 3rd. I am also a personal assistant in my spare time. Set up appointments, accompany to appointments run errands, like post office etc. I am very good on the phone in resolving issues been doing this for years!

I am warm college educated and have experience with children who are not on the spectrum. My goal is to enrich your child's life and to teach them something everyday. I would love to teach a child Spanish, proper Spanish no slang. I learned Spanish at home and English in school. Spanish opens up a whole new world for you!

I am very health conscious and love cooking healthy foods, and making healthy drinks. NO chips, NO fast foods, NO cola NO juice. Exercise is very important to me and would not mind doing Zumba with your children or outdoor activities. Anything to keep them active. I also love reading and can read to them in English or Spanish whatever you would like.

I have first aide training and CPR and AED. I also have experience with Diabetics and children with Down Syndrome. I know the signs of low blood sugar and how to handle the situation should it arise. I know how to check sugar with machine too and know about blood pressure etc. Recently got evaluated 2 times back to back and passed.

Looking forward to hearing from you, 

Lee    ",b
35,SAFARI DAYCARE,https://newyork.craigslist.org/que/kid/d/safari-daycare/6306771247.html,FLUSHING,"
        
HELLO,
I'M A LICENSED DAYCARE  PROVIDER WITH OVER 20 YEARS OF EXPERIENCE. CERTIFIED BY THE NYS DEPT. OF HEALTH IN CPR, FIRST AID AND CHILD HEALTH AND SAFETY. IN MY CARE YOUR CHILD WILL BE PROVIDED WITH A SAFE AND NURTURING ENVIRONMENT. ACTIVITIES SUCH AS: READING, PUZZLES, PLAY DOUGH, BLOCKS, COLORING, PAINTING, COMPUTER GAMES, NUMBERS, ALPHABET. 
ACCEPTING ALL AGES, FULL AND PART TIME CARE. FREE MEALS.
FOR MORE INFORMATION, PLEASE CALL ME AT

www.safaridaycare.com


 



    ",a
36,BEST Daycare in Yonkers! Over 20 Years in Business!!,https://newyork.craigslist.org/wch/kid/d/best-daycare-in-yonkers-over/6306766419.html,South Yonkers,"
        
We are now ready to welcome in new families to our program for September 2017!

We have full time openings
7am-6pm, Monday through Friday. We are a licensed home group program, but we are center-based in our approach and practices.

We rarely advertise because our families tend to stay with us for years so act quickly, as spaces fill up fast so do not hesitate to call today!

My name is Lucy Pages, and I can be reached at 
 
. We look forward to hearing from you soon!

*Great Rates!
*State Licensed!
*CPR & First Aid Certified!
*Research Based Curriculum!
*Healthy Meals!
*Small Caregiver/child ratios!
*Spacious outdoor play area!
*Loving & Experienced Caregivers!
*Child Care Subsidy & DSS Accepted!
    ",a
42,~Start Weekend care fun & learning program OVERNIGHT too!,https://newyork.craigslist.org/lgi/kid/d/start-weekend-care-fun/6306775815.html,free meals all ages welcome,"
        
*Low student to /teacher ratio
* Breakfast, Lunch, Dinner, and snacks all served daily
* Drop in/ Emergency Care available

*Three Day Weekend care available
*Parents night out

*Field Trips and Outings

*Pick up/ Drop off services available
*LICENSED BY NEW YORK STATE
*CPR AND FIRST AIDE CERTIFIED
*DECADE OF EXPERIENCE
*TRANSPORTATION PICK UP/DROP OFF AVAILABLE
*DROP-INS WELCOME

Call for rates all ages welcome Call between 8am-8pm
call 
 
 open 24 hours every weekend 
located near the 678 the belt and the van wick 11420 zip code google for distance    ",a
46,Loving and exp. nanny offers reasonable rates.,https://newyork.craigslist.org/que/kid/d/loving-and-exp-nanny-offers/6306784451.html,Bayside,"
        
Hello Working Parents,

Do you need child care but are worried about the cost? I can work with you to come up with a rate that you can afford. I am offering childcare in my Bay Terrace home. 

I have been a nanny for the past 9+ years, and offer stellar references from 4 families. About me:

KEY QUALIFICATIONS

* 9+ years of work experience as a nanny with a family.
* Strong ability to bond with baby or child and form a trusting relationship.
* Excellent knowledge of playtime, reading, and various activities for child.
* Committed to working energetically for child's mental and physical advancement and well-being.
* Ability to take care of both newborns and toddlers.
* Enjoys cooking!    ",b
47,24 HRS QUALITY CHILDCARE IN MOUNT VERNON,https://newyork.craigslist.org/wch/kid/d/24-hrs-quality-childcare-in/6290066407.html,MOUNT VERNON,"
        
Are you unable to find AFFORDABLE CHILD CARE that doesn't close their doors at 5PM? 
If you are looking for a SAFE, SECURE and LOVING environment for your child then Nobel Minds Childcare is the place to be. We are OPEN 24 HOURS!, to suit your child care needs. 

We freshly prepare healthy Meals and Snacks, Secure indoor and outdoor play areas in a newly renovated facility, Potty train. Arts and Crafts, Dress Up, Reading Time, Outdoor Activities and Structured Learning. We Accept All Ages!

We provide an extensive Pre-K program, in which we also teach French. Being a Kindergarten teacher, I take pride in going above and beyond in making sure that every child reaches his/hers full potential. 

Call now to reserve your spot, as openings fills up quick. I look forward to meeting you and your family 
 
    ",a
58,Full time live in live out nanny available,https://newyork.craigslist.org/mnh/kid/d/full-time-live-in-live-out/6294945896.html,New York,"
        
I am in my early 30's.  I have excellent references. I do not smoke and I have no criminal history. 


I am very nice, caring, punctual, patient, nurturing, responsible and trustworthy. 
I have been taking for of kids since I was 13years old.
I have references that you can call. 
I took care of newborns, infants and toddlers and school age in the past. 
I am bilingual, I speak French and English. 
I am great with kids.

I am physically fit, love to walk. 
I own a medical assistant diploma and a BA in Banking. 
I am available for an interview. 
I can start asap.
My number is 
 

Thank you.    ",b
59,"Experienced sitter available fulltime, part time or wknd",https://newyork.craigslist.org/mnh/kid/d/experienced-sitter-available/6306587618.html,Greenwich Village,"
        
I amseeking a babysitting position, i have been a childcare provider/babysitter since my high school and college days-. I have been a babysitter for families who are now available for references upon request. My responsibilities included making simple meals, giving baths, helping with homework, playing games with kids, taking them on playdates and after school activities, I am a very hard worker and have experience with children ages 2 to 12yrs old. Im available to work part time or full time picking the kids up from camp or staying home with them and doing activities or taking them to a park in the neighborhood  I come highly recommended from all the past families ive work for. I am available for wknd babysitting also, I am confident that you would not be disappointed with the services I provide. If interested, please email me and I will get back to you ASAP. 


    ",b
61,Fun Caring Babysitter,https://newyork.craigslist.org/brk/kid/d/fun-caring-babysitter/6306635035.html,Bayridge/Dykerheights,"
        
Babysitter/Nanny is looking for Mon thru Friday 	
School pick-up,homework help, cooking,laundry, lite hskping
Pet Care-Trash Recycle...

Hrs Avail 4pm-8/9pm
Looking For A min 20 hrs   
Seeking $300 Weekly + Metro Card

I Have Excellent References!!!
Im Fun Up-Beat-Warm-Caring-Patient

Looking In Bayridge-Dykerheights-Sunset Park  (Only)

Only serious inquires Please, Thanks    ",b
62,"*PEACE, LOVE, NURTURE CHILDREN*",https://newyork.craigslist.org/stn/kid/d/peace-love-nurture-children/6306641003.html,,"
        
AHLOOOOHAAAA!!!

It is a pleasure to meet you via the internet! Say's who? Crystal Violet. I have cared for infants, toddlers, preschoolers and middle school aged kids students in child care programs, public schools, private schools and summer camps. I have worked at Bright Horizon as an Assistant Teacher nurturing infants, helping them with tummy, play, read and sleep time. Previously I worked as a Para where I catered to one student and guided the class on daily meditations. I have mentored groups of students on meditations, nature walks and art activities between the ages of 3-12 at OASIS Summer Camp, Children's Art & Science Workshop Camp, Don Pedro Albizo Campus Public School and Kipp Infinity Charter School. I am now looking to build healthy relationships with children in the comfort of their homes. If you are looking for someone to help your kids with light homework, yoga, meditation, art activities, light meals and light cleaning after children...well then I always say if it's meant to be then it's meant to be. Preferably I would like to care for children between 6 months- ten years of age up to three children in total. If this resonates with you we can go into details and I can forward you my resume and we can have a talk via skype or any other video chat.

Ciao!    ",b
63,West Indian Nanny,https://newyork.craigslist.org/jsy/kid/d/west-indian-nanny/6266488528.html,Teaneck,"
        
West Indian Nanny available to take care of your little ones.  I have infant and toddler experience.  Rates negotiable.  Will live in or live out.  Full time or part time.    ",b
64,"📚infants slots Available Little Angels Family Child Care,✏",https://newyork.craigslist.org/brx/kid/d/infants-slots-available/6284728649.html,Bronx-WEST FARMS SQUARE 2 +5 TRAINS,"
        
ALSO ACCEPTING EVENING AND OVERNIGHT AGES 6 months-7 YEARS OLD






NEW LICENSE DAYCARE ALL ACCEPTING VOUCHERS

*This is an over view of some of the services we provide in our in home day care:

* Safe and loving learning environment ~


 *Story time ~
*Phonics & writing ~
*Creative play ~
*Music & movement ~
*Art creativity ~
*Outdoor play ~
*Meals and snacks provided ~


Teaching ABC'S, 123'S, PUZZLES, READING, WRITING NAMES, CIRCLE TIME, TEACHING SPANISH, FREE MEALS,TODDLER HOMEWORK,
CALL DAYCARE OFFICE NUMBER # 
 
(Diana)    ",a
65,Experienced Child Care,https://newyork.craigslist.org/brx/kid/d/experienced-child-care/6289436044.html,South Bronx,"
        
We are Little Pea Pods Afterschool offering homework help, one on one assistance, out door play at neighborhood park, meals, and much more. Highly experienced with over 15 years of experience caring for children of all ages. Located near P.S. 53X and P.S. 70. We have cooking class once a week, science projects, learn basic Spanish, Girl and Boy Scouts, etc. Hours of operation are Monday to Friday 2pm to 6:30pm and Saturday 7:30pm to 6:30pm. $30 enrollment fee and reasonable weekly rates. We also offer drop in care and parents night out. Vouchers are accepted. Transportation is provided.  Contact us for more information.    ",a
66,100% Free Nanny & Babysitter Search! Find Help Now!**********,https://newyork.craigslist.org/mnh/kid/d/100-free-nanny-babysitter/6294308426.html,babysitters,"
        
Tons of parents use this site to find a nanny or babysitter in their neighborhood. Do a free search for nannies today.
    ",b
68,RUSSIAN/ENGLISH SPEAKING BABYSITTER LOOKING FOR NEW JOB,https://newyork.craigslist.org/brk/kid/d/russian-english-speaking/6306340284.html,,"
        
I am a mature, energetic , loving and caring woman looking for a new babysitting job. I have been a baby sitter for a family with two kids, and my services are starting to dissolve and I am now looking for a new family to work for. Please contact me via telephone or email, txt . tel. 
 
 or 
 


I am bilingual Russian/Engligh, my english is well.

    ",b
69,24 HRS/AFTER SCHOOL SPECIAL!!!,https://newyork.craigslist.org/brx/kid/d/24-hrs-after-school-special/6292343699.html,NORTH BRONX,"
        
Are you unable to find AFFORDABLE CHILD CARE that doesn't close their doors at 5PM? 
If you are looking for a SAFE, SECURE and LOVING environment for your child then Nobel Minds Childcare is the place to be. We are OPEN 24 HOURS!, to suit your child care needs. 

We freshly prepare healthy Meals and Snacks, Secure indoor and outdoor play areas in a newly renovated facility, Potty train. Arts and Crafts, Dress Up, Reading Time, Outdoor Activities and Structured Learning. We Accept All Ages!

***BRAND NEW***

☆ Sibling Discount!
☆ After School Special Price!
☆ FREE School Pick Up!


We provide an extensive Pre-K program, in which we also teach French. Being a Kindergarten teacher, I take pride in going above and beyond in making sure that every child reaches his/hers full potential. 

Call now to reserve your spot, as openings fills up quick. I look forward to meeting you and your family 
 
    ",a
71,Yelp Voted The Best Preschool Let's learn Inc 🌺🌺,https://newyork.craigslist.org/stn/kid/d/yelp-voted-the-best-preschool/6296468900.html,West Brighton,"
        
Lets Learn Inc. is a Licensed Preschool by the State of New York, we approach each child as an individual with their own talents and one-of-a-kind needs. Our goal is to help your student meet the learning benchmarks for their grade. We serve three 100% all organic meals a day that includes breakfast, lunch, and dinner. Our wonderful Director is a Licensed New York City Teacher with a Bachelor of Arts Degree in Early Childhood Education. Our staff is trained in CPR, First-Aid and Health and Safety. Our lovely facility is equipped with 24-hour security monitoring system as well as a private fenced in front and back yard.







Call our wonderful Director to Enroll 
 
!!

1-866-LEARN-80    ",a
73,YELP VOTED The TOP Preschool on S.I.  Let's learn Inc 🌺🌺,https://newyork.craigslist.org/stn/kid/d/yelp-voted-the-top-preschool/6296469239.html,staten island,"
        
Lets Learn Inc. is a Licensed Preschool by the State of New York, we approach each child as an individual with their own talents and one-of-a-kind needs. Our goal is to help your student meet the learning benchmarks for their grade. We serve three 100% all organic meals a day that includes breakfast, lunch and dinner. Our wonderful Director is a Licensed New York City Teacher with a Bachelor of Arts Degree in Early Childhood Education. Our staff is trained in CPR, First-Aid and Health and Safety. Our lovely facility is equipped with 24 hour security monitoring system as well as a private fenced in front and back yard.







Call our wonderful Director to Enroll 
 
!!

1-866-LEARN-80    ",a
